Generation,Fitness,Mutation Rate
0,250,0.5
1,250,0.5
2,380,1
3,470,0.5
4,470,0.5
5,470,1
6,470,1.5
7,470,2
8,470,2.5
9,470,3
10,470,3.5
11,470,4
12,470,4.5
13,470,5
14,470,5.5
15,470,6
16,635,0.5
17,635,1
18,635,1.5
19,635,2
20,635,2.5
21,635,3
22,635,3.5
23,635,4
24,635,4.5
25,640,5
26,640,0.5
27,640,1
28,690,1.5
29,690,0.5
30,700,1
31,705,0.5
32,745,0.5
33,745,0.5
34,745,1
35,745,1.5
36,745,2
37,745,2.5
38,745,3
39,745,3.5
40,745,4
41,745,4.5
42,745,5
43,745,5.5
44,745,6
45,745,6.5
46,745,7
47,745,7.5
48,745,8
49,745,8.5
50,745,9
51,745,9.5
52,745,10
53,745,10.5
54,745,11
55,745,11.5
56,745,12
57,745,12.5
58,745,13
59,745,13.5
60,745,14
61,745,14.5
62,745,15
63,745,15.5
64,745,16
65,745,16.5
66,745,17
67,745,17.5
68,745,18
69,745,18.5
70,745,19
71,745,19.5
72,745,20
73,745,20.5
74,745,21
75,745,21.5
76,745,22
77,745,22.5
78,745,23
79,745,23.5
80,745,24
81,745,24.5
82,745,25
83,745,25.5
84,745,26
85,745,26.5
86,745,27
87,745,27.5
88,745,28
89,745,28.5
90,745,29
91,745,29.5
92,745,30
93,745,30.5
94,745,31
95,745,31.5
96,745,32
97,745,32.5
98,745,33
99,745,33.5
100,745,34
101,745,34.5
102,745,35
103,745,35.5
104,745,36
105,745,36.5
106,745,37
107,745,37.5
108,745,38
109,745,38.5
110,745,39
111,745,39.5
112,745,40
113,745,40.5
114,745,41
115,745,41.5
116,745,42
117,745,42.5
118,745,43
119,745,43.5
120,745,44
121,745,44.5
122,745,45
123,745,45.5
124,745,46
125,745,46.5
126,745,47
127,745,47.5
128,745,48
129,745,48.5
130,745,49
131,745,49.5
132,745,50
133,745,50.5
134,745,51
135,745,51.5
136,745,52
137,745,52.5
138,745,53
139,745,53.5
140,745,54
141,745,54.5
142,745,55
143,745,55.5
144,745,56
145,745,56.5
146,745,57
147,745,57.5
148,745,58
149,745,58.5
150,745,59
151,745,59.5
152,745,60
153,745,60.5
154,745,61
155,745,61.5
156,745,62
157,745,62.5
158,745,63
159,745,63.5
160,745,64
161,745,64.5
162,745,65
163,745,65.5
164,745,66
165,745,66.5
166,745,67
167,745,67.5
168,745,68
169,745,68.5
170,745,69
171,745,69.5
172,745,70
173,745,70.5
174,745,71
175,745,71.5
176,745,72
177,745,72.5
178,745,73
179,745,73.5
180,745,74
181,745,74.5
182,745,75
183,745,75.5
184,745,76
185,745,76.5
186,745,77
187,745,77.5
188,745,78
189,745,78.5
190,745,79
191,745,79.5
192,745,80
193,745,80.5
194,745,81
195,745,81.5
196,745,82
197,745,82.5
198,745,83
199,745,83.5
200,745,84
201,745,84.5
202,745,85
203,745,85.5
204,745,86
205,745,86.5
206,745,87
207,745,87.5
208,745,88
209,745,88.5
210,745,89
211,745,89.5
212,745,90
213,745,90.5
214,745,91
215,745,91.5
216,745,92
217,745,92.5
218,745,93
219,745,93.5
220,745,94
221,745,94.5
222,745,95
223,745,95.5
224,745,96
225,745,96.5
226,745,97
227,745,97.5
228,745,98
229,745,98.5
230,745,99
231,745,99.5
232,745,100
233,745,100.5
234,745,101
235,745,101.5
236,745,102
237,745,102.5
238,745,103
239,745,103.5
240,745,104
241,745,104.5
242,745,105
243,745,105.5
244,745,106
245,745,106.5
246,745,107
247,745,107.5
248,745,108
249,745,108.5
250,745,109
251,745,109.5
252,745,110
253,745,110.5
254,745,111
255,745,111.5
256,745,112
257,745,112.5
258,745,113
259,745,113.5
260,745,114
261,745,114.5
262,745,115
263,745,115.5
264,745,116
265,745,116.5
266,745,117
267,745,117.5
268,745,118
269,745,118.5
270,745,119
271,745,119.5
272,745,120
273,745,120.5
274,745,121
275,745,121.5
276,745,122
277,745,122.5
278,745,123
279,745,123.5
280,745,124
281,745,124.5
282,745,125
283,745,125.5
284,745,126
285,745,126.5
286,745,127
287,745,127.5
288,745,128
289,745,128.5
290,745,129
291,745,129.5
292,745,130
293,745,130.5
294,745,131
295,745,131.5
296,745,132
297,745,132.5
298,745,133
299,745,133.5
300,745,134
301,745,134.5
302,745,135
